Image File,File Size (KB),Encoding Performance Gain,Decoding Performance Gain,Encoding Performance Gain (OMP),Decoding Performance Gain (OMP),Compression Ratio (CPU),Compression Ratio (GPU),Compression Ratio (CPU OMP),CPU MSE,CPU PSNR,GPU MSE,GPU PSNR,CPU MSE (OMP),CPU PSNR (OMP)
lena_color_0512.tif,768.13671875,2.91463,20.3261,9.37255,7.92373,19.5698,19.9127,19.5688,43.9081,31.7054,43.6439,31.7316,43.9344,31.7028
lena_color_1024.tif,3072.13671875,6.36177,21.8352,9.34336,8.04453,23.9563,24.471,23.955,19.7381,35.1777,19.5251,35.2249,19.763,35.1723
lena_color_1536.tif,6912.13671875,9.53621,19.5467,9.1411,8.092,27.4211,28.0446,27.4201,14.5795,36.4934,14.4005,36.547,14.587,36.4912
lena_color_2048.tif,12288.13671875,11.7465,19.2545,9.05908,7.78098,32.1306,32.8754,32.1295,11.382,37.5686,11.2472,37.6204,11.3856,37.5673
lena_color_2560.tif,19200.13671875,12.4763,19.4851,9.62027,8.1136,33.6754,34.4313,33.6736,9.558,38.3271,9.43383,38.3839,9.55643,38.3278
lena_color_3072.tif,27648.13671875,13.7588,19.9091,9.1067,7.93882,36.1247,37.004,36.123,8.23611,38.9736,8.11972,39.0354,8.22734,38.9782
lena_color_3584.tif,37632.13671875,13.5496,20.329,9.41138,7.91836,38.4722,39.4145,38.4697,7.22428,39.5429,7.11935,39.6064,7.2125,39.5499
lena_color_4096.tif,49152.13671875,14.3818,20.3527,9.31307,7.86221,40.4117,41.5057,40.4092,6.12482,40.2599,6.02571,40.3307,6.11005,40.2704
lena_color_4608.tif,62208.13671875,13.9282,21.6269,10.011,8.32328,42.4788,43.4976,42.4759,5.81003,40.489,5.72277,40.5547,5.79494,40.5003
lena_color_5120.tif,76800.13671875,15.3175,18.3453,9.53501,7.7012,44.2392,45.2221,44.2362,5.31134,40.8788,5.22974,40.946,5.2939,40.893
lena_color_5632.tif,92928.13671875,14.64,21.5854,9.61663,8.01686,45.7999,46.7221,45.7966,4.92677,41.2052,4.85241,41.2712,4.91,41.22
lena_color_6144.tif,110592.13671875,14.2736,19.1878,9.5507,7.59411,47.24,48.2144,47.2369,4.60593,41.4976,4.5339,41.5661,4.58847,41.5141
lena_color_6656.tif,129792.13671875,14.5697,20.3397,9.63482,7.98997,48.5308,49.4944,48.5273,4.32889,41.767,4.26213,41.8345,4.31108,41.7849
lena_color_7168.tif,150528.13671875,14.748,20.7015,9.23015,7.9485,49.7482,50.6849,49.7445,4.09268,42.0107,4.02849,42.0794,4.07345,42.0312
lena_color_7680.tif,172800.13671875,14.2867,21.2248,9.60551,7.97144,50.8558,51.7754,50.852,3.9121,42.2067,3.84666,42.28,3.89184,42.2293
lena_color_8192.tif,196608.13671875,14.7316,19.6833,9.49704,7.91605,52.5299,53.4416,52.5259,3.60052,42.5671,3.53369,42.6485,3.57632,42.5964
